protein,evidence_sentence,triage_prediction,triage_confidence,human_label
O94907,"Although serum potassium (sK) levels are closely associated with the prognosis of chronic heart failure patients, the clinical significance of sK levels in cardiovascular outcomes of heart failure with preserved ejection fraction (HFpEF) patients is not fully understood.",no_association,0.5004705786705017,
P02766,"Background Transthyretin cardiac amyloidosis (ATTR-CM), found in 6% to 15% of cohorts with heart failure with preserved ejection fraction, has long been considered a rare disease with poor prognosis.",no_association,0.5154597759246826,
O14497,"Although both AF and HFpEF-two closely related disease epidemics of the 21st century-are held responsible, current guidelines do not emphasize the need to differentiate atrial functional MR from (ventricular) secondary MR.",positive,0.5223760008811951,
P09486,"In contrast, few studies have focused on RT in patients with HF with preserved ejection fraction (HFpEF) or VHD.",no_association,0.53793865442276,
P14210,OBJECTIVE: To assess the association between plasma hepatocyte growth factor (HGF) levels and all-cause mortality in HFpEF patients.,positive,0.5458768010139465,
O14497,"AIMS: It is widely held that heart failure (HF) does not cause exertional hypoxaemia, based upon studies in HF with reduced ejection fraction, but this may not apply to patients with HF and preserved ejection fraction (HFpEF).",no_association,0.5532567501068115,
P12821,"OUTCOME MEASURES: Utilization rates for angiotensin-converting enzyme inhibitors (ACEIs), angiotensin receptor blockers (ARBs), angiotensin receptor-neprilysin inhibitors (ARNIs), aldosterone receptor antagonists (ARAs), diuretics, β-blockers, calcium channel blockers (CCBs), phosphodiesterase 5 inhibitors (PDE5Is), nitrates, digoxin, and sodium glucose cotransporter-2 inhibitors (SGLT2i) within 90 days of the first HFpEF diagnosis.",no_association,0.564836323261261,
P02766,"While Sodium glucose Co-transporter 2 inhibitors (SGLT2i) show proven benefits in heart failure with preserved ejection fraction (HFpEF), their role in transthyretin cardiac amyloidosis (ATTR-CA) remains uncertain.",negative,0.5883222818374634,
P01308,"The pathophysiology linking HFpEF and CKD remains unclear, but it is postulated to consist of numerous bidirectional pathways, including endothelial dysfunction, inflammation, obesity, insulin resistance, and impaired sodium handling.",negative,0.6033359169960022,
P07101,"The objective of this study was to evaluate the association of FT3/FT4 ratio and TH with clinical, analytical, and echocardiographic parameters, as well as their prognostic impact in individuals with stable HFpEF.",positive,0.6179323196411133,
P01033,"Our aim is to determine whether PH is associated with PED and impaired collagen metabolism in patients with HFpEF.; METHODS AND RESULTS: Flow-mediated dilation of the brachial artery, matrix metalloproteinase-2 and matrix metalloproteinase-9, tissue metalloproteinase inhibitor 1, and C-terminal propeptide of type I procollagen were determined in 28 patients with HFpEF and 42 hypertensive controls.",positive,0.6184932589530945,
P14780,"Our aim is to determine whether PH is associated with PED and impaired collagen metabolism in patients with HFpEF.; METHODS AND RESULTS: Flow-mediated dilation of the brachial artery, matrix metalloproteinase-2 and matrix metalloproteinase-9, tissue metalloproteinase inhibitor 1, and C-terminal propeptide of type I procollagen were determined in 28 patients with HFpEF and 42 hypertensive controls.",positive,0.6184932589530945,
P08253,"Our aim is to determine whether PH is associated with PED and impaired collagen metabolism in patients with HFpEF.; METHODS AND RESULTS: Flow-mediated dilation of the brachial artery, matrix metalloproteinase-2 and matrix metalloproteinase-9, tissue metalloproteinase inhibitor 1, and C-terminal propeptide of type I procollagen were determined in 28 patients with HFpEF and 42 hypertensive controls.",positive,0.6184932589530945,
Q06520,The factors that can impact on the ST2 biomarker level in diabetic patients with heart failure with preserved ejection fraction (HFpEF) are still not well known.,positive,0.6197039484977722,
P35318,"""Paulus WJ, 2013, J Am Coll Cardiol"" was the top local cited document within the local HFpEF literature collection, while ""Owan TE, 2006, New Engl J Med"" outside the local HFpEF literature collection was the most local cited reference.",no_association,0.6200257539749146,
P04278,"OBJECTIVE: To examine the associations of total testosterone, dehydroepiandrosterone sulfate (DHEA-S), and sex hormone-binding globulin (SHBG) with incident HF, HF with preserved ejection fraction (HFpEF), and HF with reduced ejection fraction (HFrEF).",no_association,0.6282638907432556,
Q99828,"Transthoracic echocardiography, myocardial Doppler-derived systolic (Sm) and early diastolic velocity (E'), global longitudinal strain (GLS), and tissue characterization by cIB, were obtained in 86 subjects, 46 with HFpEF, and 40 controls.",no_association,0.6355063319206238,
P08473,"The purpose of this study was to determine the cost-effectiveness of mineralocorticoid receptor antagonists (MRA), angiotensin receptor-neprilysin inhibitors (ARNIs), and sodium glucose co-transporter 2 inhibitors (SGLT2is) in individuals with HFmrEF/HFpEF.",no_association,0.6409598588943481,
P02768,"This systematic review and meta-analysis aimed to assess the prognostic value of serum albumin (SA), the geriatric nutritional risk index (GNRI), and the prognostic nutritional index (PNI) in patients with HFpEF.",no_association,0.6424086093902588,
P01308,"The metabolic score for insulin resistance (METS-IR) has been validated as a novel, simple, and reliable surrogate marker for insulin resistance; however, its utility for evaluating the prognosis of heart failure with preserved ejection fraction (HFpEF) remains to be elucidated.",positive,0.6490622162818909,
P17931,"The aim of this study was to evaluate whether FGF21, galectin-3 and copeptin can be used as biomarkers to identify HFpEF in patients with confirmed type 2 diabetes mellitus (DM).",positive,0.6547834873199463,
Q9NSA1,"The aim of this study was to evaluate whether FGF21, galectin-3 and copeptin can be used as biomarkers to identify HFpEF in patients with confirmed type 2 diabetes mellitus (DM).",positive,0.6547834873199463,
P00797,"No studies have comprehensively compared the efficacy of sodium-glucose cotransporter-2 (SGLT2) inhibitors, renin-angiotensin system (RAS) inhibitors, and angiotensin receptor neprilysin (ARN) inhibitors based on different type of heart failure, including heart failure with reduced ejection fraction (HFrEF) and heart failure with preserved ejection fraction (HFpEF).",positive,0.6569363474845886,
O14964,"The primary outcome (all-cause mortality) and the secondary outcomes (cardiovascular mortality, hospitalization for HF, stroke, and MI) were evaluated via Cox proportional hazards models to compare the hazard ratios (HRs) between sexes in HFpEF patients.",positive,0.6599236726760864,
P20936,Evidence-based management of heart failure (HF) with preserved left ventricular ejection fraction (LVEF; HFpEF) remains a major gap in the care of patients with HF.,positive,0.6696438789367676,
P02766,Model accuracy was also compared with the transthyretin CA score and the increased wall thickness score within a subset of older heart failure with preserved ejection fraction patients with increased wall thickness.,no_association,0.6818901896476746,
Q8WZ42,"Currently, there is a lack of data regarding titin modulation in the SKM of HFpEF.",no_association,0.6856661438941956,
P00797,"In contrast to beta-blockers and renin-angiotensin system inhibitors, the role of calcium channel blockers (CCBs) in patients with heart failure with preserved ejection fraction (HFpEF) remains uncertain.",negative,0.6881092190742493,
P05164,"This study aimed to identify biomarker profiles associated with clinical outcomes in HFpEF and investigate how inhibition of the neutrophil-derived reactive oxygen species-producing enzyme, myeloperoxidase, affects these biomarkers.",positive,0.6953437924385071,
O94925,To longitudinally assess left ventricle (LV) global longitudinal strain (GLS) and hemodynamic forces during the early stages of cardiac dysfunction in a mouse model of heart failure with preserved ejection fraction (HFpEF).,no_association,0.698227047920227,
P05164,"The objective of this observational cohort study was to compare MPO levels between HFpEF and old controls, to define clinical characteristics associated with high levels of MPO and to assess the relation between MPO levels and vascular function.",no_association,0.7032654285430908,
O14964,"We estimated HRs for risk factors in relation to HF, HFpEF, and HFrEF using Cox proportional hazards survival models.",positive,0.7194442749023438,
P02766,"Transthyretin amyloid cardiomyopathy (ATTR-CM) is an increasinglyrecognized cause of heart failure with preserved ejection fraction (HFpEF), which may be diagnosed non-invasively using  METHODS:",positive,0.7337344884872437,
P08473,"CONCLUSION: The PRAISE-MR (Sacubitril-Valsartan in Heart Failure with Preserved Ejection Fraction and Secondary Mitral Valve Regurgitation) trial will evaluate whether sacubitril-valsartan, an angiotensin receptor neprilysin inhibitor, is beneficial in patients with HFpEF and atrial FMR.",no_association,0.7801293134689331,
P02768,"The CRP-Albumin-Lymphocyte (CALLY) index, a novel composite indicator reflecting immune inflammation and nutritional status, has not yet been validated as a prognostic tool in elderly patients with HFpEF.",positive,0.7833330631256104,
P02741,"The CRP-Albumin-Lymphocyte (CALLY) index, a novel composite indicator reflecting immune inflammation and nutritional status, has not yet been validated as a prognostic tool in elderly patients with HFpEF.",positive,0.7833330631256104,
P02741,"Finally, the relationship between weight reduction and changes in CRP across the STEP-HFpEF Program have not been fully defined.",no_association,0.8040984869003296,
P54762,"In this retrospective study, diuretic efficiency (DE, or net urine output per 40-mg of intravenous furosemide equivalent) during the first 72 hours was compared between patients hospitalized with HFrEF (n = 121) versus HFpEF (n = 120).",no_association,0.8262268900871277,
P00797,"We explored the association between use of renin-angiotensin system inhibitors and beta-blockers, with mortality/morbidity in 5 previously identified clusters of patients with heart failure with preserved ejection fraction (HFpEF).",no_association,0.8477739691734314,
P00797,"While many cohort studies and several randomized controlled trials (RCTs) have examined the effectiveness of various anti-hypertensive drugs such as beta-blockers and renin-angiotensin system inhibitors in HFpEF, the role of calcium channel blockers (CCBs) remains uncertain.",negative,0.8573480248451233,
O94925,"In patients with heart failure with preserved ejection fraction (HFpEF), the impact of type 2 diabetes (T2D) on left ventricular global longitudinal strain (LV GLS) and its prognostic implications remains unclear.",negative,0.8706465363502502,
